Census year,Occupation,Total Weight,Female,Male,,,,
2001,instructor,1266752,0.46659725,0.53340275,,,,
2002,doorkeeper,1747424,0.256502143,0.743497857,,,,
2003,veterinarian,66714,0.396948167,0.603051833,,,,
1850,engineer,11237.49,0,1,,,,
1920,housekeeper,2043550.42,0.944141461,0.055858539,,,,
1900,draftsperson,11411.21,0.024222672,0.975777328,,,,
2008,tradesperson,6559046,0.040909151,0.959090849,,,,
1990,porter,45724,0.105830636,0.894169364,,,,
1990,chemist,157320,0.270849225,0.729150775,,,,
2002,teacher,6159527,0.757469039,0.242530961,,,,
1920,attendant,62909.3,0.510434069,0.489565931,,,,
2007,chemist,103566,0.366770948,0.633229052,,,,
1900,janitor,61268.16,0.187034505,0.812965495,,,,
2000,cabinetmaker,102458,0.07464522,0.92535478,,,,
2013,jeweler,129835,0.226472061,0.773527939,,,,
1940,technician,72728,0.303816962,0.696183038,,,,
2008,dentist,184884,0.243633846,0.756366154,,,,
2009,accountant,2488038,0.599109419,0.400890581,,,,
2007,doorkeeper,1864384,0.249473284,0.750526716,,,,
2005,optometrist,36417,0.287530549,0.712469451,,,,
1900,lumberjack,38749.21,0.009142896,0.990857104,,,,
1920,economist,100.6,1,0,,,,
1930,student,250652.97,0.464308043,0.535691957,,,,
2010,bartender,511790,0.600050802,0.399949198,,,,
2005,designer,957604,0.585571907,0.414428093,,,,
1850,driver,38747.4,0,1,,,,
1930,postmaster,35932.8,0.394827567,0.605172433,,,,
2001,driver,4814880,0.135109079,0.864890921,,,,
1900,accountant,12404.3,0.07764888,0.92235112,,,,
1960,statistician,28840,0.402912621,0.597087379,,,,
1850,administrator,6004.53,0,1,,,,
1980,operator,2374760,0.552375819,0.447624181,,,,
1980,tailor,77840,0.441418294,0.558581706,,,,
1880,paperhanger,4684.43,0,1,,,,
2006,proprietor,21249862,0.385741799,0.614258201,,,,
2004,doorkeeper,1735932,0.246524633,0.753475367,,,,
2006,technician,2820391,0.570289368,0.429710632,,,,
2013,mailperson,687236,0.287051319,0.712948681,,,,
1940,surveyor,19258,0.056496002,0.943503998,,,,
2009,geologist,86907,0.325370799,0.674629201,,,,
2002,administrator,509439,0.581463139,0.418536861,,,,
2012,setter,75093,0.031121409,0.968878591,,,,
1870,soldier,32294.72,0.003355038,0.996644962,,,,
2006,professor,1451095,0.476845417,0.523154583,,,,
1970,technician,1862600,0.371523677,0.628476323,,,,
1970,boilermaker,75000,0.02,0.98,,,,
2011,official,20942666,0.394802171,0.605197829,,,,
2015,operator,1461575,0.386940116,0.613059884,,,,
2009,machinist,453811,0.047451472,0.952548528,,,,
1850,peddler,11253.87,0,1,,,,
2005,conductor,63593,0.053150504,0.946849496,,,,
2008,chiropractor,82654,0.353207346,0.646792654,,,,
2005,lumberjack,62607,0.109061287,0.890938713,,,,
2007,sales,8775316,0.45177393,0.54822607,,,,
1960,instructor,193840,0.265683038,0.734316962,,,,
2001,mailperson,829313,0.300927394,0.699072606,,,,
2015,bartender,531168,0.608621001,0.391378999,,,,
2009,farmer,848207,0.161005509,0.838994491,,,,
2008,pilot,153705,0.047955499,0.952044501,,,,
2001,dancer,32352,0.745147132,0.254852868,,,,
1900,instructor,8230.2,0.074041943,0.925958057,,,,
1900,guard,58397.96,0.008750477,0.991249523,,,,
1940,pilot,7178,0.041794372,0.958205628,,,,
1860,auctioneer,1903.96,0,1,,,,
1950,dentist,73743,0.027948415,0.972051585,,,,
2011,paperhanger,6579,0.136646907,0.863353093,,,,
2012,conservationist,52864,0.156401332,0.843598668,,,,
2009,operator,1696338,0.421637669,0.578362331,,,,
1920,secretary,669118.73,0.908626635,0.091373365,,,,
1990,electrician,799198,0.027224793,0.972775207,,,,
2007,designer,960363,0.563018359,0.436981641,,,,
2008,doorkeeper,1952279,0.261538438,0.738461562,,,,
2011,weaver,15537,0.621033662,0.378966338,,,,
2001,administrator,459081,0.573754958,0.426245042,,,,
1990,inspector,270898,0.245239906,0.754760094,,,,
1920,clergy,162608.45,0.164732768,0.835267232,,,,
1860,bankteller,978.21,0,1,,,,
1960,mailperson,879120,0.081922832,0.918077168,,,,
1900,conductor,82475.07,0.010317542,0.989682458,,,,
1980,scientist,344440,0.249099988,0.750900012,,,,
2002,musician,1330216,0.653566037,0.346433963,,,,
1910,proprietor,1910672,0.059933887,0.940066113,,,,
2000,professor,1345001,0.474115633,0.525884367,,,,
2014,mailperson,692105,0.287742467,0.712257533,,,,
1940,huckster,58064,0.063981124,0.936018876,,,,
1950,upholsterer,67493,0.068658972,0.931341028,,,,
2009,tradesperson,6444726,0.039407106,0.960592894,,,,
2005,toolmaker,108633,0.030644463,0.969355537,,,,
2003,nutritionist,103996,0.891101581,0.108898419,,,,
2007,dietitian,99026,0.892785733,0.107214267,,,,
2008,newsperson,790939,0.588298213,0.411701787,,,,
2001,statistician,52749,0.380594893,0.619405107,,,,
1990,salesperson,1524383,0.411271314,0.588728686,,,,
2002,psychologist,187740,0.674858847,0.325141153,,,,
1940,newsperson,118554,0.138476981,0.861523019,,,,
1900,nurse,115193.26,0.936498628,0.063501372,,,,
1990,secretary,5869301,0.978550257,0.021449743,,,,
1870,bookbinder,5995.98,0.121601473,0.878398527,,,,
2007,bailiff,14134,0.267015707,0.732984293,,,,
1870,therapist,941.58,0.113065273,0.886934727,,,,
2013,technician,3218657,0.562579362,0.437420638,,,,
2009,entertainer,320178,0.568771121,0.431228879,,,,
2014,fireperson,444801,0.037317812,0.962682188,,,,
1950,plumber,297638,0.007502402,0.992497598,,,,
1990,plumber,585594,0.015799342,0.984200658,,,,
1860,clerk,105.84,0,1,,,,
1940,inspector,126498,0.060396212,0.939603788,,,,
2002,plasterer,57226,0.008684864,0.991315136,,,,
1870,milliner,26927.32,0.968966462,0.031033538,,,,
1900,stereotyper,2783.3,0.014263644,0.985736356,,,,
2014,teacher,7029032,0.767857651,0.232142349,,,,
2000,guard,1588852,0.237066133,0.762933867,,,,
2012,upholsterer,48382,0.211586954,0.788413046,,,,
1880,nurse,35150.39,0.928498944,0.071501056,,,,
2007,dentist,179473,0.231026394,0.768973606,,,,
2006,typesetter,61912,0.465499419,0.534500581,,,,
2001,veterinarian,57585,0.410332552,0.589667448,,,,
1960,boilermaker,33080,0.001813785,0.998186215,,,,
2001,draftsperson,224216,0.218021907,0.781978093,,,,
1990,doctor,627840,0.211928198,0.788071802,,,,
1970,clerical,14480900,0.673991257,0.326008743,,,,
2002,cashier,4246449,0.77835999,0.22164001,,,,
2014,physician,923738,0.353749656,0.646250344,,,,
2002,statistician,53108,0.451231453,0.548768547,,,,
2015,mechanic,12854246,0.240377149,0.759622851,,,,
1920,retired,154056.62,0.070132981,0.929867019,,,,
2003,physicist,23930,0.135102382,0.864897618,,,,
1960,cabinetmaker,81640,0.021313082,0.978686918,,,,
2004,carpenter,2026432,0.023391853,0.976608147,,,,
