Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Utah"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"RPR-Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics","3007","2929","78"
"RPR-Small Engine Mechanics","372","372","0"
"RPR-Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers","1285","1193","92"
"RPR-Control And Valve Installers And Repairers","461","432","29"
"RPR-Heating, Air Conditioning, And Refrigeration Mechanics And Installers","4222","4177","45"
"RPR-Home Appliance Repairers","555","468","87"
"RPR-Maintenance Workers, Machinery","318","258","60"
"RPR-Millwrights","267","267","0"
"RPR-Industrial And Refractory Machinery Mechanics","4596","4537","59"
"RPR-Electrical Power-Line Installers And Repairers","1109","1109","0"
"RPR-Telecommunications Line Installers And Repairers","988","988","0"
"RPR-Precision Instrument And Equipment Repairers","887","800","87"
"RPR-Maintenance And Repair Workers, General","5434","5185","249"
"RPR-Coin, Vending, And Amusement Machine Servicers And Repairers","428","391","37"
"RPR-Locksmiths And Safe Repairers","518","370","148"
"RPR-Riggers","293","279","14"
"RPR-Helpers--Installation, Maintenance, And Repair Workers","102","102","0"
"RPR-Other Installation, Maintenance, And Repair Workers","2904","2854","50"
"PRD-First-Line Supervisors Of Production And Operating Workers","9715","7518","2197"
"PRD-Electrical, Electronics, And Electromechanical Assemblers","1176","744","432"
"PRD-Engine And Other Machine Assemblers","33","33","0"
"PRD-Structural Metal Fabricators And Fitters","465","465","0"
"PRD-Other Assemblers and Fabricators","15198","8860","6338"
"PRD-Bakers","3464","871","2593"
"PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers","2817","2117","700"
"PRD-Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders","103","66","37"
"PRD-Food Batchmakers","1369","399","970"
"PRD-Food Cooking Machine Operators And Tenders","73","61","12"
"PRD-Food Processing Workers, All Other","1734","1195","539"
"PRD-Forming Machine Setters, Operators, And Tenders, Metal And Plastic","359","339","20"
"PRD-Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic","554","516","38"
"PRD-Grinding, Lapping, Polishing, And Buffing Machine Tool Setters, Operators, And Tenders, Metal and Plastic","235","124","111"
"PRD-Other Machine Tool Setters, Operators, And Tenders, Metal And Plastic","225","225","0"
"PRD-Machinists","4971","4768","203"
"PRD-Metal Furnace Operators, Tenders, Pourers, And Casters","160","125","35"
"PRD-Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic","307","307","0"
"PRD-Tool And Die Makers","185","185","0"
"PRD-Welding, Soldering, And Brazing Workers","7279","6870","409"
"PRD-Other Metal Workers And Plastic Workers","2636","2161","475"
"PRD-Prepress Technicians And Workers","248","142","106"
"PRD-Printing Press Operators","2149","1663","486"
"PRD-Print Binding And Finishing Workers","356","73","283"
"PRD-Laundry And Dry-Cleaning Workers","2180","827","1353"
"PRD-Pressers, Textile, Garment, And Related Materials","367","271","96"
"PRD-Sewing Machine Operators","2157","227","1930"
"PRD-Shoe And Leather Workers","157","141","16"
"PRD-Tailors, Dressmakers, And Sewers","1240","317","923"
"PRD-Textile Machine Setters, Operators, And Tenders","163","14","149"
"PRD-Upholsterers","317","288","29"
"PRD-Other Textile, Apparel, And Furnishings Workers","256","134","122"
"PRD-Cabinetmakers And Bench Carpenters","1278","1179","99"
"PRD-Furniture Finishers","208","150","58"
"PRD-Sawing Machine Setters, Operators, And Tenders, Wood","235","222","13"
"PRD-Woodworking Machine Setters, Operators, And Tenders, Except Sawing","349","309","40"
"PRD-Other Woodworkers","777","716","61"
"PRD-Power Plant Operators, Distributors, And Dispatchers","711","711","0"
"PRD-Stationary Engineers And Boiler Operators","950","942","8"
"PRD-Water And Wastewater Treatment Plant And System Operators","791","710","81"
"PRD-Miscellaneous Plant And System Operators","787","713","74"
"PRD-Chemical Processing Machine Setters, Operators, And Tenders","544","480","64"
"PRD-Crushing, Grinding, Polishing, Mixing, And Blending Workers","1431","1249","182"
"PRD-Cutting Workers","1305","805","500"
"PRD-Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders","259","247","12"
"PRD-Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders","183","181","2"
"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers","11169","6845","4324"
"PRD-Jewelers And Precious Stone And Metal Workers","666","216","450"
"PRD-Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians","887","493","394"
"PRD-Packaging And Filling Machine Operators And Tenders","4119","1804","2315"
"PRD-Painting Workers","2004","1758","246"
"PRD-Photographic Process Workers And Processing Machine Operators","640","358","282"
"PRD-Computer Numerically Controlled Tool Operators And Programmers","1326","931","395"
"PRD-Adhesive Bonding Machine Operators And Tenders","198","164","34"
