SOC_Codes_2018,Occupation,Total,ma,fe,Female,Male
HLS-Occupational Therapy Assistants And Aides,assistant,949,158,791,0.833508957,0.166491043
HLS-Physical Therapist Assistants And Aides,assistant,2423,571,1852,0.764341725,0.235658275
HLS-Massage Therapists,assistant,5368,1237,4131,0.769560358,0.230439642
HLS-Dental Assistants,assistant,8162,544,7618,0.933349669,0.066650331
HLS-Medical Assistants,assisstant,14324,1077,13247,0.924811505,0.075188495
HLS-Medical Transcriptionists,transcriptionist,729,171,558,0.765432099,0.234567901
HLS-Pharmacy Aides,pharmacist,1523,454,1069,0.701904137,0.298095863
HLS-Veterinary Assistants And Laboratory Animal Caretakers,veterinarian,998,223,775,0.776553106,0.223446894
HLS-Phlebotomists,phlebotomist,4533,395,4138,0.91286124,0.08713876
PRT-Firefighters,firefighter,12259,11948,311,0.025369117,0.974630883
PRT-Fire Inspectors,firefighter,204,199,5,0.024509804,0.975490196
PRT-Bailiffs,bailiff,730,587,143,0.195890411,0.804109589
PRT-Correctional Officers And Jailers,police,7962,6709,1253,0.157372519,0.842627481
PRT-Detectives And Criminal Investigators,detective,2027,1407,620,0.305870745,0.694129255
PRT-Police Officers,police,19110,17204,1906,0.099738357,0.900261643
PRT-Private Detectives And Investigators,detective,2154,1456,698,0.324048282,0.675951718
PRT-Security Guards And Gambling Surveillance Officers,guard,22636,17903,4733,0.209091712,0.790908288
PRT-Crossing Guards And Flaggers,guard,1710,608,1102,0.644444444,0.355555556
EAT-Chefs And Head Cooks,chef,15765,12803,2962,0.187884554,0.812115446
EAT-Cooks,cook,56908,36937,19971,0.350934842,0.649065158
EAT-Bartenders,bartender,13348,5207,8141,0.609904105,0.390095895
EAT-Waiters And Waitresses,waitstaff,60994,17145,43849,0.718906778,0.281093222
EAT-Dining Room And Cafeteria Attendants And Bartender Helpers,attendant,11654,6138,5516,0.473313884,0.526686116
EAT-Dishwashers,dishwasher,12528,10087,2441,0.19484355,0.80515645
"EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop",attendant,10284,1280,9004,0.875534811,0.124465189
CLN-Maids And Housekeeping Cleaners,housekeeper,38948,5917,33031,0.848079491,0.151920509
CLN-Janitors And Building Cleaners,janitor,68669,49580,19089,0.2779857,0.7220143
CLN-Tree Trimmers And Pruners,lumberjack,2245,2207,38,0.016926503,0.983073497
