Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: New York"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"EAT-Chefs And Head Cooks","56229","46188","10041"
"EAT-First-Line Supervisors Of Food Preparation And Serving Workers","30729","15111","15618"
"EAT-Cooks","149623","95195","54428"
"EAT-Food Preparation Workers","84013","44492","39521"
"EAT-Bartenders","32308","15638","16670"
"EAT-Fast Food And Counter Workers","50508","23856","26652"
"EAT-Waiters And Waitresses","158896","57527","101369"
"EAT-Food Servers, Nonrestaurant","16072","7681","8391"
"EAT-Dining Room And Cafeteria Attendants And Bartender Helpers","32192","22072","10120"
"EAT-Dishwashers","29595","25363","4232"
"EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop","20377","3178","17199"
"EAT-Food Preparation And Serving Related Workers, All Other","1129","649","480"
"CLN-First-Line Supervisors Of Housekeeping And Janitorial Workers","16668","11971","4697"
"CLN-First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers","6330","5995","335"
"CLN-Maids And Housekeeping Cleaners","131316","21069","110247"
"CLN-Janitors And Building Cleaners","253063","182541","70522"
"CLN-Pest Control Workers","3850","3711","139"
"CLN-Landscaping And Groundskeeping Workers","68772","62782","5990"
"CLN-Tree Trimmers And Pruners","3819","3764","55"
"CLN-Other Grounds Maintenance Workers","2667","2100","567"
"PRS-Supervisors of Personal Care And Service Workers","8233","3401","4832"
"PRS-Animal Trainers","2779","1124","1655"
"PRS-Animal Caretakers","16865","4837","12028"
"PRS-Gambling Services Workers","3736","2266","1470"
"PRS-Ushers, Lobby Attendants, And Ticket Takers","5335","3340","1995"
"PRS-Other Entertainment Attendants And Related Workers","23736","14148","9588"
"PRS-Morticians, Undertakers, And Funeral Arrangers","2285","1868","417"
"PRS-Embalmers, Crematory Operators And Funeral Attendants","1017","821","196"
"PRS-Barbers","11061","10091","970"
"PRS-Hairdressers, Hairstylists, And Cosmetologists","61227","7512","53715"
"PRS-Manicurists and Pedicurists","20068","2791","17277"
"PRS-Skincare Specialists","6593","0","6593"
"PRS-Other Personal Appearance Workers","3415","271","3144"
"PRS-Baggage Porters, Bellhops, And Concierges","23955","21518","2437"
"PRS-Tour And Travel Guides","6432","3058","3374"
"PRS-Childcare Workers","157641","13420","144221"
"PRS-Exercise Trainers And Group Fitness Instructors","23754","9887","13867"
"PRS-Recreation Workers","34602","14147","20455"
"PRS-Residential Advisors","6453","2470","3983"
"PRS-Personal Care And Service Workers, All Other","13796","5600","8196"
"SAL-First-Line Supervisors Of Retail Sales Workers","193261","109390","83871"
"SAL-First-Line Supervisors Of Non-Retail Sales Workers","81820","54619","27201"
"SAL-Cashiers","280317","83426","196891"
"SAL-Counter And Rental Clerks","8344","3769","4575"
"SAL-Parts Salespersons","4201","3784","417"
"SAL-Retail Salespersons","270131","129988","140143"
"SAL-Advertising Sales Agents","20384","9834","10550"
"SAL-Insurance Sales Agents","31647","16837","14810"
"SAL-Securities, Commodities, And Financial Services Sales Agents","38164","29302","8862"
"SAL-Travel Agents","6039","1605","4434"
"SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel","38352","24930","13422"
"SAL-Sales Representatives, Wholesale And Manufacturing","84432","58617","25815"
"SAL-Models, Demonstrators, And Product Promoters","5711","1595","4116"
"SAL-Real Estate Brokers And Sales Agents","59982","28490","31492"
"SAL-Sales Engineers","2088","1945","143"
"SAL-Telemarketers","4198","1630","2568"
"SAL-Door-To-Door Sales Workers, News And Street Vendors, And Related Workers","12722","6332","6390"
"SAL-Sales And Related Workers, All Other","17775","9427","8348"
"OFF-First-Line Supervisors Of Office And Administrative Support Workers","93414","34359","59055"
"OFF-Switchboard Operators, Including Answering Service","1735","384","1351"
"OFF-Telephone Operators","3027","853","2174"
"OFF-Communications Equipment Operators, All Other","2333","1684","649"
"OFF-Bill And Account Collectors","11894","4891","7003"
"OFF-Billing And Posting Clerks","41922","6212","35710"
"OFF-Bookkeeping, Accounting, And Auditing Clerks","82910","15415","67495"
"OFF-Payroll And Timekeeping Clerks","10363","1382","8981"
"OFF-Procurement Clerks","1998","1161","837"
"OFF-Tellers","22927","5742","17185"
"OFF-Other Financial Clerks","12908","6166","6742"
"OFF-Court, Municipal, And License Clerks","6934","1942","4992"
"OFF-Credit Authorizers, Checkers, And Clerks","2422","939","1483"
"OFF-Customer Service Representatives","180033","67080","112953"
