Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: California"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"ENT-Other Media And Communication Equipment Workers","20783","18828","1955"
"MED-Chiropractors","7693","5046","2647"
"MED-Dentists","27002","17258","9744"
"MED-Dietitians And Nutritionists","12393","1237","11156"
"MED-Optometrists","6380","3048","3332"
"MED-Pharmacists","33715","13966","19749"
"MED-Physician Assistants","10864","3761","7103"
"MED-Podiatrists","870","648","222"
"MED-Occupational Therapists","11019","1768","9251"
"MED-Physical Therapists","26360","8940","17420"
"MED-Radiation Therapists","1265","426","839"
"MED-Recreational Therapists","955","270","685"
"MED-Respiratory Therapists","14418","6986","7432"
"MED-Speech-Language Pathologists","17763","1167","16596"
"MED-Other Therapists","31551","5890","25661"
"MED-Veterinarians","8673","3053","5620"
"MED-Registered Nurses","361045","55754","305291"
"MED-Nurse Anesthetists","1107","330","777"
"MED-Audiologists","1834","465","1369"
"MED-Nurse Practitioners, And Nurse Midwives","13771","1731","12040"
"MED-Physicians","112099","66893","45206"
"MED-Surgeons","5750","4989","761"
"MED-Acupuncturists","5444","2155","3289"
"MED-Dental Hygienists","19830","1528","18302"
"MED-Healthcare Diagnosing Or Treating Practitioners, All Other","2297","572","1725"
"MED-Clinical Laboratory Technologists And Technicians","35379","13293","22086"
"MED-Cardiovascular Technologists And Technicians","4446","1780","2666"
"MED-Diagnostic Medical Sonographers","8317","2688","5629"
"MED-Radiologic Technologists And Technicians","21131","10086","11045"
"MED-Magnetic Resonance Imaging Technologists","4415","2382","2033"
"MED-Nuclear Medicine Technologists And Medical Dosimetrists","2908","1584","1324"
"MED-Emergency Medical Technicians","13945","9896","4049"
"MED-Paramedics","11192","8745","2447"
"MED-Pharmacy Technicians","41436","11944","29492"
"MED-Psychiatric Technicians","8180","2476","5704"
"MED-Surgical Technologists","12099","4282","7817"
"MED-Veterinary Technologists And Technicians","12245","2269","9976"
"MED-Dietetic Technicians And Ophthalmic Medical Technicians","2883","806","2077"
"MED-Licensed Practical And Licensed Vocational Nurses","97666","19340","78326"
"MED-Medical Records Specialists","19203","3253","15950"
"MED-Opticians, Dispensing","9495","3200","6295"
"MED-Miscellaneous Health Technologists And Technicians","16564","7635","8929"
"MED-Other Healthcare Practitioners And Technical Occupations","9387","3185","6202"
"HLS-Home Health Aides","38821","6821","32000"
"HLS-Personal Care Aides","393476","73548","319928"
"HLS-Nursing Assistants","128413","24608","103805"
"HLS-Orderlies And Psychiatric Aides","7428","4697","2731"
"HLS-Occupational Therapy Assistants And Aides","2310","481","1829"
"HLS-Physical Therapist Assistants And Aides","10284","4316","5968"
"HLS-Massage Therapists","32908","7547","25361"
"HLS-Dental Assistants","54657","5966","48691"
"HLS-Medical Assistants","94085","11299","82786"
"HLS-Medical Transcriptionists","6571","1399","5172"
"HLS-Pharmacy Aides","5821","1853","3968"
"HLS-Veterinary Assistants And Laboratory Animal Caretakers","7451","1839","5612"
"HLS-Phlebotomists","13520","3362","10158"
"HLS-Other Healthcare Support Workers","16190","4934","11256"
"PRT-First-Line Supervisors Of Correctional Officers","5822","4144","1678"
"PRT-First-Line Supervisors Of Police And Detectives","13402","11079","2323"
"PRT-First-Line Supervisors Of Firefighting And Prevention Workers","9912","9514","398"
"PRT-Miscellaneous First-Line Supervisors, Protective Service Workers","10044","7640","2404"
"PRT-Firefighters","38102","35851","2251"
"PRT-Fire Inspectors","3181","2499","682"
"PRT-Bailiffs","2874","2211","663"
"PRT-Correctional Officers And Jailers","40146","31887","8259"
"PRT-Detectives And Criminal Investigators","15336","10977","4359"
"PRT-Police Officers","91297","76180","15117"
"PRT-Fish And Game Wardens And Parking Enforcement Officers","2409","1418","991"
"PRT-Animal Control Workers","1635","684","951"
"PRT-Private Detectives And Investigators","11342","6958","4384"
"PRT-Security Guards And Gambling Surveillance Officers","177272","142489","34783"
"PRT-Crossing Guards And Flaggers","7443","3507","3936"
"PRT-Transportation Security Screeners","5281","3306","1975"
"PRT-School Bus Monitors","685","66","619"
"PRT-Other Protective Service Workers","23853","14050","9803"
"EAT-Chefs And Head Cooks","76346","59151","17195"
"EAT-First-Line Supervisors Of Food Preparation And Serving Workers","80146","36766","43380"
"EAT-Cooks","333258","198364","134894"
"EAT-Food Preparation Workers","178342","74939","103403"
"EAT-Bartenders","57258","31261","25997"
"EAT-Fast Food And Counter Workers","81347","31920","49427"
"EAT-Waiters And Waitresses","325995","120779","205216"
"EAT-Food Servers, Nonrestaurant","23923","9520","14403"
"EAT-Dining Room And Cafeteria Attendants And Bartender Helpers","61258","41693","19565"
"EAT-Dishwashers","55419","44832","10587"
"EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop","48095","9063","39032"
"EAT-Food Preparation And Serving Related Workers, All Other","3364","1848","1516"
"CLN-First-Line Supervisors Of Housekeeping And Janitorial Workers","29394","20393","9001"
"CLN-First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers","19489","18391","1098"
"CLN-Maids And Housekeeping Cleaners","280143","29159","250984"
"CLN-Janitors And Building Cleaners","351950","235520","116430"
"CLN-Pest Control Workers","11942","11327","615"
"CLN-Landscaping And Groundskeeping Workers","216916","204953","11963"
"CLN-Tree Trimmers And Pruners","15161","14618","543"
"CLN-Other Grounds Maintenance Workers","8478","7375","1103"
"PRS-Supervisors of Personal Care And Service Workers","18351","7041","11310"
"PRS-Animal Trainers","6924","2350","4574"
"PRS-Animal Caretakers","41929","11368","30561"
"PRS-Gambling Services Workers","19686","10481","9205"
"PRS-Ushers, Lobby Attendants, And Ticket Takers","9566","5115","4451"
"PRS-Other Entertainment Attendants And Related Workers","45229","23881","21348"
"PRS-Morticians, Undertakers, And Funeral Arrangers","3015","1612","1403"
"PRS-Embalmers, Crematory Operators And Funeral Attendants","1636","1197","439"
"PRS-Barbers","14265","11452","2813"
"PRS-Hairdressers, Hairstylists, And Cosmetologists","121327","13635","107692"
"PRS-Manicurists and Pedicurists","49154","5892","43262"
"PRS-Skincare Specialists","13599","133","13466"
"PRS-Other Personal Appearance Workers","6712","525","6187"
"PRS-Baggage Porters, Bellhops, And Concierges","9602","6996","2606"
"PRS-Tour And Travel Guides","10683","5998","4685"
"PRS-Childcare Workers","223229","17899","205330"
"PRS-Exercise Trainers And Group Fitness Instructors","43102","16584","26518"
"PRS-Recreation Workers","38623","16136","22487"
"PRS-Residential Advisors","6159","2141","4018"
"PRS-Personal Care And Service Workers, All Other","29681","12574","17107"
"SAL-First-Line Supervisors Of Retail Sales Workers","387694","210638","177056"
"SAL-First-Line Supervisors Of Non-Retail Sales Workers","173594","116832","56762"
"SAL-Cashiers","554111","172370","381741"
"SAL-Counter And Rental Clerks","11777","6235","5542"
"SAL-Parts Salespersons","12394","10986","1408"
"SAL-Retail Salespersons","553729","258353","295376"
"SAL-Advertising Sales Agents","22941","11217","11724"
"SAL-Insurance Sales Agents","69138","35798","33340"
"SAL-Securities, Commodities, And Financial Services Sales Agents","30006","20575","9431"
"SAL-Travel Agents","12722","2718","10004"
"SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel","95038","62661","32377"
"SAL-Sales Representatives, Wholesale And Manufacturing","190136","125156","64980"
"SAL-Models, Demonstrators, And Product Promoters","15094","4637","10457"
