Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Alaska"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"MED-Registered Nurses","8586","1211","7375"
"MED-Nurse Anesthetists","53","0","53"
"MED-Audiologists","80","10","70"
"MED-Nurse Practitioners, And Nurse Midwives","888","8","880"
"MED-Physicians","2048","1242","806"
"MED-Surgeons","0","0","0"
"MED-Acupuncturists","74","9","65"
"MED-Dental Hygienists","674","135","539"
"MED-Healthcare Diagnosing Or Treating Practitioners, All Other","99","37","62"
"MED-Clinical Laboratory Technologists And Technicians","510","232","278"
"MED-Cardiovascular Technologists And Technicians","135","46","89"
"MED-Diagnostic Medical Sonographers","83","8","75"
"MED-Radiologic Technologists And Technicians","609","185","424"
"MED-Magnetic Resonance Imaging Technologists","0","0","0"
"MED-Nuclear Medicine Technologists And Medical Dosimetrists","22","0","22"
"MED-Emergency Medical Technicians","658","549","109"
"MED-Paramedics","578","534","44"
"MED-Pharmacy Technicians","710","133","577"
"MED-Psychiatric Technicians","389","121","268"
"MED-Surgical Technologists","444","119","325"
"MED-Veterinary Technologists And Technicians","344","16","328"
"MED-Dietetic Technicians And Ophthalmic Medical Technicians","63","0","63"
"MED-Licensed Practical And Licensed Vocational Nurses","1196","286","910"
"MED-Medical Records Specialists","556","130","426"
"MED-Opticians, Dispensing","291","70","221"
"MED-Miscellaneous Health Technologists And Technicians","276","92","184"
"MED-Other Healthcare Practitioners And Technical Occupations","312","98","214"
"HLS-Home Health Aides","1071","94","977"
"HLS-Personal Care Aides","5461","1540","3921"
"HLS-Nursing Assistants","3641","464","3177"
"HLS-Orderlies And Psychiatric Aides","120","50","70"
"HLS-Occupational Therapy Assistants And Aides","78","5","73"
"HLS-Physical Therapist Assistants And Aides","95","36","59"
"HLS-Massage Therapists","950","142","808"
"HLS-Dental Assistants","745","88","657"
"HLS-Medical Assistants","1814","88","1726"
"HLS-Medical Transcriptionists","122","0","122"
"HLS-Pharmacy Aides","201","0","201"
"HLS-Veterinary Assistants And Laboratory Animal Caretakers","236","71","165"
"HLS-Phlebotomists","142","0","142"
"HLS-Other Healthcare Support Workers","237","112","125"
"PRT-First-Line Supervisors Of Correctional Officers","390","313","77"
"PRT-First-Line Supervisors Of Police And Detectives","542","425","117"
"PRT-First-Line Supervisors Of Firefighting And Prevention Workers","139","133","6"
"PRT-Miscellaneous First-Line Supervisors, Protective Service Workers","112","102","10"
"PRT-Firefighters","1904","1816","88"
"PRT-Fire Inspectors","125","108","17"
"PRT-Bailiffs","41","41","0"
"PRT-Correctional Officers And Jailers","1306","1059","247"
"PRT-Detectives And Criminal Investigators","462","279","183"
"PRT-Police Officers","2361","2041","320"
"PRT-Fish And Game Wardens And Parking Enforcement Officers","193","84","109"
"PRT-Animal Control Workers","19","19","0"
"PRT-Private Detectives And Investigators","205","100","105"
"PRT-Security Guards And Gambling Surveillance Officers","2237","1705","532"
"PRT-Crossing Guards And Flaggers","600","66","534"
"PRT-Transportation Security Screeners","427","239","188"
"PRT-School Bus Monitors","148","0","148"
