Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Arkansas"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"EDU-Teaching Assistants","13909","1780","12129"
"EDU-Other Educational Instruction and Library Workers","1542","331","1211"
"ENT-Artists And Related Workers","998","517","481"
"ENT-Commercial And Industrial Designers","105","94","11"
"ENT-Fashion Designers","190","123","67"
"ENT-Floral Designers","1005","186","819"
"ENT-Graphic Designers","2218","1007","1211"
"ENT-Interior Designers","787","112","675"
"ENT-Merchandise Displayers And Window Trimmers","44","0","44"
"ENT-Other Designers","2112","1177","935"
"ENT-Actors","91","55","36"
"ENT-Producers And Directors","675","383","292"
"ENT-Athletes And Sports Competitors","449","403","46"
"ENT-Coaches And Scouts","1896","921","975"
"ENT-Umpires, Referees, And Other Sports Officials","428","370","58"
"ENT-Dancers And Choreographers","168","0","168"
"ENT-Music Directors And Composers","643","562","81"
"ENT-Musicians And Singers","1159","677","482"
"ENT-Disc Jockeys, Except Radio","0","0","0"
"ENT-Entertainers And Performers, Sports And Related Workers, All Other","392","102","290"
"ENT-Broadcast Announcers And Radio Disc Jockeys","202","121","81"
"ENT-News Analysts, Reporters, And Journalists","632","349","283"
"ENT-Public Relations Specialists","883","270","613"
"ENT-Editors","723","313","410"
"ENT-Technical Writers","250","147","103"
"ENT-Writers And Authors","1521","628","893"
"ENT-Interpreters And Translators","862","148","714"
"ENT-Court Reporters And Simultaneous Captioners","385","64","321"
"ENT-Media And Communication Workers, All Other","238","208","30"
"ENT-Photographers","1694","755","939"
"ENT-Television, Video, And Film Camera Operators And Editors","240","228","12"
"ENT-Other Media And Communication Equipment Workers","658","447","211"
"MED-Chiropractors","402","316","86"
"MED-Dentists","1262","1073","189"
"MED-Dietitians And Nutritionists","1132","76","1056"
"MED-Optometrists","377","161","216"
"MED-Pharmacists","3147","1646","1501"
"MED-Physician Assistants","570","58","512"
"MED-Podiatrists","18","18","0"
"MED-Occupational Therapists","1087","197","890"
"MED-Physical Therapists","2472","886","1586"
"MED-Radiation Therapists","85","0","85"
"MED-Recreational Therapists","170","80","90"
"MED-Respiratory Therapists","1494","355","1139"
"MED-Speech-Language Pathologists","2058","63","1995"
"MED-Other Therapists","1518","175","1343"
"MED-Veterinarians","632","356","276"
"MED-Registered Nurses","35802","3661","32141"
"MED-Nurse Anesthetists","420","249","171"
"MED-Audiologists","195","44","151"
"MED-Nurse Practitioners, And Nurse Midwives","1497","169","1328"
"MED-Physicians","6273","4683","1590"
"MED-Surgeons","492","461","31"
"MED-Acupuncturists","35","0","35"
"MED-Dental Hygienists","2003","116","1887"
"MED-Healthcare Diagnosing Or Treating Practitioners, All Other","50","0","50"
"MED-Clinical Laboratory Technologists And Technicians","3603","984","2619"
"MED-Cardiovascular Technologists And Technicians","689","202","487"
"MED-Diagnostic Medical Sonographers","713","127","586"
"MED-Radiologic Technologists And Technicians","2244","657","1587"
"MED-Magnetic Resonance Imaging Technologists","212","74","138"
"MED-Nuclear Medicine Technologists And Medical Dosimetrists","197","104","93"
"MED-Emergency Medical Technicians","1217","782","435"
"MED-Paramedics","927","503","424"
"MED-Pharmacy Technicians","3950","488","3462"
"MED-Psychiatric Technicians","586","162","424"
"MED-Surgical Technologists","892","247","645"
"MED-Veterinary Technologists And Technicians","1181","125","1056"
"MED-Dietetic Technicians And Ophthalmic Medical Technicians","489","20","469"
"MED-Licensed Practical And Licensed Vocational Nurses","14638","1500","13138"
"MED-Medical Records Specialists","2449","151","2298"
"MED-Opticians, Dispensing","369","47","322"
"MED-Miscellaneous Health Technologists And Technicians","1069","456","613"
"MED-Other Healthcare Practitioners And Technical Occupations","808","276","532"
"HLS-Home Health Aides","6373","706","5667"
"HLS-Personal Care Aides","13529","1418","12111"
"HLS-Nursing Assistants","21986","2129","19857"
"HLS-Orderlies And Psychiatric Aides","932","429","503"
"HLS-Occupational Therapy Assistants And Aides","527","108","419"
