Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Alabama"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"ENT-Broadcast Announcers And Radio Disc Jockeys","612","429","183"
"ENT-News Analysts, Reporters, And Journalists","931","402","529"
"ENT-Public Relations Specialists","1588","495","1093"
"ENT-Editors","1324","426","898"
"ENT-Technical Writers","634","478","156"
"ENT-Writers And Authors","2260","769","1491"
"ENT-Interpreters And Translators","960","28","932"
"ENT-Court Reporters And Simultaneous Captioners","609","35","574"
"ENT-Media And Communication Workers, All Other","388","185","203"
"ENT-Photographers","2284","781","1503"
"ENT-Television, Video, And Film Camera Operators And Editors","612","515","97"
"ENT-Other Media And Communication Equipment Workers","830","775","55"
"MED-Chiropractors","633","459","174"
"MED-Dentists","2121","1613","508"
"MED-Dietitians And Nutritionists","1751","71","1680"
"MED-Optometrists","548","309","239"
"MED-Pharmacists","6430","2529","3901"
"MED-Physician Assistants","1146","407","739"
"MED-Podiatrists","41","27","14"
"MED-Occupational Therapists","1495","232","1263"
"MED-Physical Therapists","3189","1091","2098"
"MED-Radiation Therapists","286","73","213"
"MED-Recreational Therapists","320","183","137"
"MED-Respiratory Therapists","2426","711","1715"
"MED-Speech-Language Pathologists","1900","110","1790"
"MED-Other Therapists","2338","639","1699"
"MED-Veterinarians","1098","462","636"
"MED-Registered Nurses","62280","7183","55097"
"MED-Nurse Anesthetists","1064","430","634"
"MED-Audiologists","271","0","271"
"MED-Nurse Practitioners, And Nurse Midwives","3813","528","3285"
"MED-Physicians","11102","7538","3564"
"MED-Surgeons","627","563","64"
"MED-Acupuncturists","30","0","30"
"MED-Dental Hygienists","4268","57","4211"
"MED-Healthcare Diagnosing Or Treating Practitioners, All Other","181","33","148"
"MED-Clinical Laboratory Technologists And Technicians","5277","1056","4221"
"MED-Cardiovascular Technologists And Technicians","785","100","685"
"MED-Diagnostic Medical Sonographers","1163","275","888"
"MED-Radiologic Technologists And Technicians","4061","1138","2923"
"MED-Magnetic Resonance Imaging Technologists","719","244","475"
"MED-Nuclear Medicine Technologists And Medical Dosimetrists","437","170","267"
"MED-Emergency Medical Technicians","2515","1292","1223"
"MED-Paramedics","1866","1336","530"
"MED-Pharmacy Technicians","7980","1397","6583"
"MED-Psychiatric Technicians","878","213","665"
"MED-Surgical Technologists","2077","324","1753"
"MED-Veterinary Technologists And Technicians","2533","426","2107"
"MED-Dietetic Technicians And Ophthalmic Medical Technicians","610","141","469"
"MED-Licensed Practical And Licensed Vocational Nurses","16370","1017","15353"
"MED-Medical Records Specialists","2838","250","2588"
"MED-Opticians, Dispensing","730","188","542"
"MED-Miscellaneous Health Technologists And Technicians","3738","870","2868"
"MED-Other Healthcare Practitioners And Technical Occupations","1157","375","782"
"HLS-Home Health Aides","5823","452","5371"
"HLS-Personal Care Aides","16073","1414","14659"
"HLS-Nursing Assistants","26908","2161","24747"
"HLS-Orderlies And Psychiatric Aides","1251","388","863"
"HLS-Occupational Therapy Assistants And Aides","657","83","574"
"HLS-Physical Therapist Assistants And Aides","2567","834","1733"
"HLS-Massage Therapists","1670","340","1330"
"HLS-Dental Assistants","3824","105","3719"
"HLS-Medical Assistants","6691","304","6387"
"HLS-Medical Transcriptionists","1121","89","1032"
"HLS-Pharmacy Aides","537","57","480"
"HLS-Veterinary Assistants And Laboratory Animal Caretakers","1077","234","843"
"HLS-Phlebotomists","2421","192","2229"
"HLS-Other Healthcare Support Workers","2617","738","1879"
"PRT-First-Line Supervisors Of Correctional Officers","831","641","190"
"PRT-First-Line Supervisors Of Police And Detectives","2214","1947","267"
"PRT-First-Line Supervisors Of Firefighting And Prevention Workers","1133","1102","31"
"PRT-Miscellaneous First-Line Supervisors, Protective Service Workers","1593","890","703"
"PRT-Firefighters","5867","5777","90"
"PRT-Fire Inspectors","672","618","54"
"PRT-Bailiffs","766","507","259"
"PRT-Correctional Officers And Jailers","5953","4076","1877"
"PRT-Detectives And Criminal Investigators","1950","1514","436"
"PRT-Police Officers","11607","9812","1795"
"PRT-Fish And Game Wardens And Parking Enforcement Officers","195","182","13"
"PRT-Animal Control Workers","270","223","47"
"PRT-Private Detectives And Investigators","1365","709","656"
"PRT-Security Guards And Gambling Surveillance Officers","17216","12701","4515"
"PRT-Crossing Guards And Flaggers","342","125","217"
"PRT-Transportation Security Screeners","197","144","53"
"PRT-School Bus Monitors","194","3","191"
"PRT-Other Protective Service Workers","4501","2180","2321"
"EAT-Chefs And Head Cooks","3486","2763","723"
"EAT-First-Line Supervisors Of Food Preparation And Serving Workers","12231","3672","8559"
"EAT-Cooks","50210","27993","22217"
"EAT-Food Preparation Workers","16429","6551","9878"
"EAT-Bartenders","4244","1453","2791"
"EAT-Fast Food And Counter Workers","11023","3815","7208"
"EAT-Waiters And Waitresses","40043","8738","31305"
"EAT-Food Servers, Nonrestaurant","2730","722","2008"
"EAT-Dining Room And Cafeteria Attendants And Bartender Helpers","5394","1971","3423"
"EAT-Dishwashers","6610","5252","1358"
"EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop","5881","905","4976"
"EAT-Food Preparation And Serving Related Workers, All Other","219","119","100"
"CLN-First-Line Supervisors Of Housekeeping And Janitorial Workers","3823","2230","1593"
"CLN-First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers","3658","3297","361"
"CLN-Maids And Housekeeping Cleaners","27195","1729","25466"
"CLN-Janitors And Building Cleaners","47462","30506","16956"
"CLN-Pest Control Workers","2696","2664","32"
"CLN-Landscaping And Groundskeeping Workers","25476","23690","1786"
"CLN-Tree Trimmers And Pruners","1902","1842","60"
"CLN-Other Grounds Maintenance Workers","769","735","34"
"PRS-Supervisors of Personal Care And Service Workers","1394","300","1094"
"PRS-Animal Trainers","732","253","479"
"PRS-Animal Caretakers","4139","970","3169"
"PRS-Gambling Services Workers","515","217","298"
"PRS-Ushers, Lobby Attendants, And Ticket Takers","678","416","262"
"PRS-Other Entertainment Attendants And Related Workers","3770","2157","1613"
"PRS-Morticians, Undertakers, And Funeral Arrangers","643","445","198"
"PRS-Embalmers, Crematory Operators And Funeral Attendants","249","130","119"
"PRS-Barbers","2354","1685","669"
"PRS-Hairdressers, Hairstylists, And Cosmetologists","15657","998","14659"
"PRS-Manicurists and Pedicurists","2767","588","2179"
"PRS-Skincare Specialists","482","0","482"
"PRS-Other Personal Appearance Workers","368","38","330"
"PRS-Baggage Porters, Bellhops, And Concierges","393","127","266"
"PRS-Tour And Travel Guides","748","310","438"
"PRS-Childcare Workers","24620","1426","23194"
"PRS-Exercise Trainers And Group Fitness Instructors","2991","876","2115"
"PRS-Recreation Workers","3545","1273","2272"
"PRS-Residential Advisors","2281","877","1404"
"PRS-Personal Care And Service Workers, All Other","1914","612","1302"
"SAL-First-Line Supervisors Of Retail Sales Workers","56908","28441","28467"
"SAL-First-Line Supervisors Of Non-Retail Sales Workers","16878","11215","5663"
"SAL-Cashiers","76890","13474","63416"
"SAL-Counter And Rental Clerks","1316","699","617"
"SAL-Parts Salespersons","2273","1859","414"
"SAL-Retail Salespersons","64068","27660","36408"
"SAL-Advertising Sales Agents","2119","993","1126"
"SAL-Insurance Sales Agents","9232","4411","4821"
"SAL-Securities, Commodities, And Financial Services Sales Agents","1478","885","593"
"SAL-Travel Agents","658","71","587"
"SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel","7613","4760","2853"
"SAL-Sales Representatives, Wholesale And Manufacturing","22258","16214","6044"
"SAL-Models, Demonstrators, And Product Promoters","900","341","559"
"SAL-Real Estate Brokers And Sales Agents","10352","3999","6353"
"SAL-Sales Engineers","227","227","0"
"SAL-Telemarketers","1240","551","689"
"SAL-Door-To-Door Sales Workers, News And Street Vendors, And Related Workers","2239","612","1627"
"SAL-Sales And Related Workers, All Other","5069","2067","3002"
"OFF-First-Line Supervisors Of Office And Administrative Support Workers","22075","8251","13824"
"OFF-Switchboard Operators, Including Answering Service","746","104","642"
"OFF-Telephone Operators","1085","90","995"
"OFF-Communications Equipment Operators, All Other","349","156","193"
