Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Delaware"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"ENT-Court Reporters And Simultaneous Captioners","774","94","680"
"ENT-Media And Communication Workers, All Other","300","76","224"
"ENT-Photographers","5921","2381","3540"
"ENT-Television, Video, And Film Camera Operators And Editors","1518","1226","292"
"ENT-Other Media And Communication Equipment Workers","2016","1778","238"
"MED-Chiropractors","1801","1222","579"
"MED-Dentists","3592","2731","861"
"MED-Dietitians And Nutritionists","2381","96","2285"
"MED-Optometrists","788","417","371"
"MED-Pharmacists","6263","2435","3828"
"MED-Physician Assistants","3961","1192","2769"
"MED-Podiatrists","61","46","15"
"MED-Occupational Therapists","3226","279","2947"
"MED-Physical Therapists","5763","1385","4378"
"MED-Radiation Therapists","118","8","110"
"MED-Recreational Therapists","141","19","122"
"MED-Respiratory Therapists","1692","454","1238"
"MED-Speech-Language Pathologists","3572","163","3409"
"MED-Other Therapists","4015","669","3346"
"MED-Veterinarians","3206","1192","2014"
"MED-Registered Nurses","60740","6228","54512"
"MED-Nurse Anesthetists","371","175","196"
"MED-Audiologists","735","158","577"
"MED-Nurse Practitioners, And Nurse Midwives","3114","348","2766"
"MED-Physicians","16942","10011","6931"
"MED-Surgeons","1218","1073","145"
"MED-Acupuncturists","1172","327","845"
"MED-Dental Hygienists","5213","225","4988"
"MED-Healthcare Diagnosing Or Treating Practitioners, All Other","611","83","528"
"MED-Clinical Laboratory Technologists And Technicians","6434","1614","4820"
"MED-Cardiovascular Technologists And Technicians","702","270","432"
"MED-Diagnostic Medical Sonographers","1665","493","1172"
"MED-Radiologic Technologists And Technicians","3324","975","2349"
"MED-Magnetic Resonance Imaging Technologists","708","245","463"
"MED-Nuclear Medicine Technologists And Medical Dosimetrists","267","104","163"
"MED-Emergency Medical Technicians","2629","1460","1169"
"MED-Paramedics","2021","1569","452"
"MED-Pharmacy Technicians","6969","1501","5468"
"MED-Psychiatric Technicians","1515","494","1021"
"MED-Surgical Technologists","1463","372","1091"
"MED-Veterinary Technologists And Technicians","3562","525","3037"
"MED-Dietetic Technicians And Ophthalmic Medical Technicians","523","57","466"
"MED-Licensed Practical And Licensed Vocational Nurses","9476","1268","8208"
"MED-Medical Records Specialists","3559","226","3333"
"MED-Opticians, Dispensing","1836","447","1389"
"MED-Miscellaneous Health Technologists And Technicians","2402","664","1738"
"MED-Other Healthcare Practitioners And Technical Occupations","2608","853","1755"
"HLS-Home Health Aides","6373","896","5477"
"HLS-Personal Care Aides","23387","4098","19289"
"HLS-Nursing Assistants","25022","3370","21652"
"HLS-Orderlies And Psychiatric Aides","1102","576","526"
"HLS-Occupational Therapy Assistants And Aides","440","0","440"
"HLS-Physical Therapist Assistants And Aides","1247","297","950"
"HLS-Massage Therapists","7750","1580","6170"
"HLS-Dental Assistants","6783","505","6278"
"HLS-Medical Assistants","11268","1326","9942"
"HLS-Medical Transcriptionists","1449","550","899"
"HLS-Pharmacy Aides","680","154","526"
"HLS-Veterinary Assistants And Laboratory Animal Caretakers","1694","348","1346"
"HLS-Phlebotomists","2110","378","1732"
"HLS-Other Healthcare Support Workers","3435","766","2669"
"PRT-First-Line Supervisors Of Correctional Officers","1380","847","533"
"PRT-First-Line Supervisors Of Police And Detectives","2041","1743","298"
"PRT-First-Line Supervisors Of Firefighting And Prevention Workers","1293","1217","76"
"PRT-Miscellaneous First-Line Supervisors, Protective Service Workers","1794","1284","510"
"PRT-Firefighters","7769","7367","402"
"PRT-Fire Inspectors","519","421","98"
"PRT-Bailiffs","276","239","37"
"PRT-Correctional Officers And Jailers","6283","4890","1393"
"PRT-Detectives And Criminal Investigators","3338","2013","1325"
"PRT-Police Officers","14697","11661","3036"
"PRT-Fish And Game Wardens And Parking Enforcement Officers","362","339","23"
"PRT-Animal Control Workers","245","115","130"
"PRT-Private Detectives And Investigators","2145","1194","951"
"PRT-Security Guards And Gambling Surveillance Officers","19134","14748","4386"
"PRT-Crossing Guards And Flaggers","2195","1356","839"
"PRT-Transportation Security Screeners","1517","986","531"
"PRT-School Bus Monitors","314","133","181"
"PRT-Other Protective Service Workers","8469","4431","4038"
"EAT-Chefs And Head Cooks","12881","10398","2483"
"EAT-First-Line Supervisors Of Food Preparation And Serving Workers","13830","5998","7832"
"EAT-Cooks","52469","33459","19010"
"EAT-Food Preparation Workers","30621","12253","18368"
"EAT-Bartenders","13150","6286","6864"
"EAT-Fast Food And Counter Workers","17274","6946","10328"
"EAT-Waiters And Waitresses","54858","17765","37093"
"EAT-Food Servers, Nonrestaurant","3947","1701","2246"
"EAT-Dining Room And Cafeteria Attendants And Bartender Helpers","7871","4909","2962"
"EAT-Dishwashers","7906","5646","2260"
"EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop","10031","1228","8803"
"EAT-Food Preparation And Serving Related Workers, All Other","572","459","113"
"CLN-First-Line Supervisors Of Housekeeping And Janitorial Workers","4779","2091","2688"
"CLN-First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers","3711","3453","258"
"CLN-Maids And Housekeeping Cleaners","35330","3119","32211"
"CLN-Janitors And Building Cleaners","52844","33081","19763"
"CLN-Pest Control Workers","616","419","197"
"CLN-Landscaping And Groundskeeping Workers","28573","25296","3277"
"CLN-Tree Trimmers And Pruners","2506","2317","189"
"CLN-Other Grounds Maintenance Workers","1815","1635","180"
"PRS-Supervisors of Personal Care And Service Workers","2226","648","1578"
"PRS-Animal Trainers","1621","559","1062"
"PRS-Animal Caretakers","8859","2134","6725"
"PRS-Gambling Services Workers","1109","796","313"
"PRS-Ushers, Lobby Attendants, And Ticket Takers","1421","670","751"
"PRS-Other Entertainment Attendants And Related Workers","7258","4468","2790"
"PRS-Morticians, Undertakers, And Funeral Arrangers","601","350","251"
"PRS-Embalmers, Crematory Operators And Funeral Attendants","443","294","149"
"PRS-Barbers","2028","1158","870"
"PRS-Hairdressers, Hairstylists, And Cosmetologists","16283","1053","15230"
"PRS-Manicurists and Pedicurists","4911","460","4451"
"PRS-Skincare Specialists","2208","85","2123"
"PRS-Other Personal Appearance Workers","494","56","438"
"PRS-Baggage Porters, Bellhops, And Concierges","2554","1418","1136"
"PRS-Tour And Travel Guides","2537","1788","749"
"PRS-Childcare Workers","31470","1914","29556"
"PRS-Exercise Trainers And Group Fitness Instructors","7483","2311","5172"
"PRS-Recreation Workers","6054","2097","3957"
"PRS-Residential Advisors","1087","409","678"
"PRS-Personal Care And Service Workers, All Other","4293","1762","2531"
"SAL-First-Line Supervisors Of Retail Sales Workers","70952","37948","33004"
"SAL-First-Line Supervisors Of Non-Retail Sales Workers","28571","19409","9162"
"SAL-Cashiers","66018","18915","47103"
"SAL-Counter And Rental Clerks","2149","1357","792"
"SAL-Parts Salespersons","2733","2309","424"
"SAL-Retail Salespersons","89115","44302","44813"
"SAL-Advertising Sales Agents","3714","2150","1564"
"SAL-Insurance Sales Agents","13992","6986","7006"
"SAL-Securities, Commodities, And Financial Services Sales Agents","5715","3712","2003"
"SAL-Travel Agents","1992","199","1793"
"SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel","19084","11810","7274"
"SAL-Sales Representatives, Wholesale And Manufacturing","29873","21289","8584"
"SAL-Models, Demonstrators, And Product Promoters","1997","466","1531"
"SAL-Real Estate Brokers And Sales Agents","26076","11623","14453"
"SAL-Sales Engineers","918","869","49"
"SAL-Telemarketers","2319","1196","1123"
"SAL-Door-To-Door Sales Workers, News And Street Vendors, And Related Workers","4089","1418","2671"
"SAL-Sales And Related Workers, All Other","8966","4229","4737"
"OFF-First-Line Supervisors Of Office And Administrative Support Workers","28013","10168","17845"
"OFF-Switchboard Operators, Including Answering Service","656","188","468"
"OFF-Telephone Operators","755","277","478"
"OFF-Communications Equipment Operators, All Other","807","477","330"
"OFF-Bill And Account Collectors","3264","829","2435"
"OFF-Billing And Posting Clerks","10434","1623","8811"
"OFF-Bookkeeping, Accounting, And Auditing Clerks","31163","3517","27646"
"OFF-Payroll And Timekeeping Clerks","2488","345","2143"
"OFF-Procurement Clerks","782","495","287"
"OFF-Tellers","6057","884","5173"
"OFF-Other Financial Clerks","2725","1071","1654"
"OFF-Court, Municipal, And License Clerks","1950","340","1610"
"OFF-Credit Authorizers, Checkers, And Clerks","1023","228","795"
"OFF-Customer Service Representatives","75206","27440","47766"
"OFF-Eligibility Interviewers, Government Programs","1724","433","1291"
"OFF-File Clerks","4742","1075","3667"
"OFF-Hotel, Motel, And Resort Desk Clerks","4306","1108","3198"
"OFF-Interviewers, Except Eligibility And Loan","4279","1568","2711"
"OFF-Library Assistants, Clerical","2059","658","1401"
"OFF-Loan Interviewers And Clerks","3043","977","2066"
"OFF-New Accounts Clerks","236","49","187"
"OFF-Human Resources Assistants, Except Payroll And Timekeeping","1424","366","1058"
"OFF-Receptionists And Information Clerks","31202","3331","27871"
"OFF-Reservation And Transportation Ticket Agents And Travel Clerks","4124","1831","2293"
"OFF-Correspondence Clerks And Order Clerks","2425","1000","1425"
"OFF-Other Information And Records Clerks","3282","829","2453"
"OFF-Cargo And Freight Agents","725","549","176"
"OFF-Couriers And Messengers","6117","4760","1357"
"OFF-Public Safety Telecommunicators","1806","434","1372"
"OFF-Dispatchers, Except Police, Fire, And Ambulance","3945","1354","2591"
"OFF-Meter Readers, Utilities","612","460","152"
"OFF-Postal Service Clerks","3011","1836","1175"
"OFF-Postal Service Mail Carriers","7050","4661","2389"
"OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators","1080","512","568"
"OFF-Production, Planning, And Expediting Clerks","6912","2590","4322"
"OFF-Shipping, Receiving, And Inventory Clerks","9839","6068","3771"
"OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping","1702","1137","565"
"OFF-Executive Secretaries And Executive Administrative Assistants","5319","270","5049"
"OFF-Legal Secretaries And Administrative Assistants","1533","76","1457"
"OFF-Medical Secretaries And Administrative Assistants","2623","170","2453"
"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive","56493","3374","53119"
"OFF-Data Entry Keyers","8224","1999","6225"
"OFF-Word Processors And Typists","5645","1067","4578"
"OFF-Insurance Claims And Policy Processing Clerks","6545","1771","4774"
"OFF-Mail Clerks And Mail Machine Operators, Except Postal Service","1216","543","673"
"OFF-Office Clerks, General","25217","4658","20559"
"OFF-Office Machine Operators, Except Computer","727","295","432"
"OFF-Proofreaders And Copy Markers","233","0","233"
"OFF-Statistical Assistants","492","212","280"
"OFF-Other Office And Administrative Support Workers","14779","3247","11532"
"FFF-First-Line Supervisors Of Farming, Fishing, And Forestry Workers","966","802","164"
"FFF-Agricultural Inspectors","162","109","53"
"FFF-Graders And Sorters, Agricultural Products","943","263","680"
"FFF-Other Agricultural Workers","19588","15323","4265"
"FFF-Fishing And Hunting Workers","301","248","53"
"FFF-Forest And Conservation Workers","465","329","136"
"FFF-Logging Workers","632","617","15"
"CON-First-Line Supervisors Of Construction Trades And Extraction Workers","23325","22497","828"
"CON-Boilermakers","236","236","0"
"CON-Carpenters","29207","28547","660"
"CON-Carpet, Floor, And Tile Installers And Finishers","4382","4296","86"
"CON-Cement Masons, Concrete Finishers, And Terrazzo Workers","2929","2900","29"
"CON-Construction Laborers","47350","45783","1567"
"CON-Construction Equipment Operators","9173","9069","104"
"CON-Drywall Installers, Ceiling Tile Installers, And Tapers","5410","5071","339"
"CON-Electricians","19826","19126","700"
"CON-Glaziers","1325","1316","9"
"CON-Insulation Workers","826","814","12"
"CON-Painters And Paperhangers","13875","12311","1564"
"CON-Pipelayers","1344","1309","35"
"CON-Plumbers, Pipefitters, And Steamfitters","13605","13120","485"
"CON-Plasterers And Stucco Masons","687","687","0"
"CON-Roofers","5857","5798","59"
"CON-Sheet Metal Workers","3118","3011","107"
"CON-Structural Iron And Steel Workers","1186","1112","74"
"CON-Solar Photovoltaic Installers","400","400","0"
"CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers","3368","3368","0"
"CON-Helpers, Construction Trades","649","614","35"
"CON-Construction And Building Inspectors","2503","2076","427"
"CON-Elevator And Escalator Installers And Repairers","503","503","0"
"CON-Fence Erectors","872","872","0"
"CON-Hazardous Materials Removal Workers","1313","1064","249"
"CON-Highway Maintenance Workers","2720","2640","80"
"CON-Rail-Track Laying And Maintenance Equipment Operators","108","108","0"
"CON-Other Construction And Related Workers","1499","1401","98"
"EXT-Surface Mining Machine Operators And Earth Drillers","1228","1149","79"
"EXT-Explosives Workers, Ordnance Handling Experts, And Blasters","636","633","3"
"EXT-Underground Mining Machine Operators","1613","1599","14"
"EXT-Other Extraction Workers","2807","2737","70"
"EXT-Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil And Gas","2138","2118","20"
"RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers","5790","5436","354"
"RPR-Computer, Automated Teller, And Office Machine Repairers","2906","2598","308"
"RPR-Radio And Telecommunications Equipment Installers And Repairers","3560","3247","313"
"RPR-Avionics Technicians","202","194","8"
"RPR-Electric Motor, Power Tool, And Related Repairers","275","266","9"
"RPR-Audiovisual Equipment Installers And Repairers","926","867","59"
"RPR-Security And Fire Alarm Systems Installers","905","855","50"
"RPR-Other Electrical And Electronic Equipment Mechanics, Installers, and Repairers","468","388","80"
"RPR-Aircraft Mechanics And Service Technicians","2569","2388","181"
"RPR-Automotive Body And Related Repairers","2888","2871","17"
"RPR-Automotive Glass Installers And Repairers","399","385","14"
"RPR-Automotive Service Technicians And Mechanics","17481","17195","286"
"RPR-Bus And Truck Mechanics And Diesel Engine Specialists","6650","6560","90"
"RPR-Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics","5296","5139","157"
"RPR-Small Engine Mechanics","867","867","0"
"RPR-Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers","2609","2533","76"
"RPR-Control And Valve Installers And Repairers","288","256","32"
"RPR-Heating, Air Conditioning, And Refrigeration Mechanics And Installers","8137","7875","262"
"RPR-Home Appliance Repairers","1349","1349","0"
"RPR-Maintenance Workers, Machinery","470","448","22"
"RPR-Millwrights","209","209","0"
"RPR-Industrial And Refractory Machinery Mechanics","4544","4448","96"
"RPR-Electrical Power-Line Installers And Repairers","1875","1768","107"
"RPR-Telecommunications Line Installers And Repairers","3188","3043","145"
"RPR-Precision Instrument And Equipment Repairers","1383","1324","59"
"RPR-Maintenance And Repair Workers, General","10559","10092","467"
"RPR-Coin, Vending, And Amusement Machine Servicers And Repairers","608","431","177"
"RPR-Locksmiths And Safe Repairers","475","365","110"
"RPR-Riggers","299","203","96"
"RPR-Helpers--Installation, Maintenance, And Repair Workers","504","447","57"
"RPR-Other Installation, Maintenance, And Repair Workers","5683","5286","397"
"PRD-First-Line Supervisors Of Production And Operating Workers","11307","8855","2452"
"PRD-Electrical, Electronics, And Electromechanical Assemblers","2231","1143","1088"
"PRD-Engine And Other Machine Assemblers","97","97","0"
"PRD-Structural Metal Fabricators And Fitters","526","526","0"
"PRD-Other Assemblers and Fabricators","13197","8740","4457"
"PRD-Bakers","5786","2195","3591"
"PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers","5008","3401","1607"
"PRD-Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders","170","118","52"
"PRD-Food Batchmakers","2438","979","1459"
"PRD-Food Cooking Machine Operators And Tenders","0","0","0"
"PRD-Food Processing Workers, All Other","1540","949","591"
"PRD-Forming Machine Setters, Operators, And Tenders, Metal And Plastic","303","281","22"
"PRD-Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic","546","526","20"
"PRD-Grinding, Lapping, Polishing, And Buffing Machine Tool Setters, Operators, And Tenders, Metal and Plastic","222","185","37"
"PRD-Other Machine Tool Setters, Operators, And Tenders, Metal And Plastic","108","97","11"
"PRD-Machinists","4464","4357","107"
"PRD-Metal Furnace Operators, Tenders, Pourers, And Casters","47","47","0"
"PRD-Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic","387","355","32"
"PRD-Tool And Die Makers","265","258","7"
"PRD-Welding, Soldering, And Brazing Workers","8238","7993","245"
"PRD-Other Metal Workers And Plastic Workers","3612","2882","730"
"PRD-Prepress Technicians And Workers","281","245","36"
"PRD-Printing Press Operators","3117","2431","686"
"PRD-Print Binding And Finishing Workers","467","293","174"
"PRD-Laundry And Dry-Cleaning Workers","4047","1466","2581"
"PRD-Pressers, Textile, Garment, And Related Materials","523","58","465"
"PRD-Sewing Machine Operators","1997","447","1550"
"PRD-Shoe And Leather Workers","250","174","76"
"PRD-Tailors, Dressmakers, And Sewers","1730","258","1472"
"PRD-Textile Machine Setters, Operators, And Tenders","155","29","126"
"PRD-Upholsterers","287","229","58"
"PRD-Other Textile, Apparel, And Furnishings Workers","478","307","171"
"PRD-Cabinetmakers And Bench Carpenters","1025","996","29"
"PRD-Furniture Finishers","154","138","16"
"PRD-Sawing Machine Setters, Operators, And Tenders, Wood","352","352","0"
"PRD-Woodworking Machine Setters, Operators, And Tenders, Except Sawing","204","204","0"
"PRD-Other Woodworkers","1265","1217","48"
"PRD-Power Plant Operators, Distributors, And Dispatchers","1117","1012","105"
"PRD-Stationary Engineers And Boiler Operators","2133","1889","244"
"PRD-Water And Wastewater Treatment Plant And System Operators","2315","2125","190"
"PRD-Miscellaneous Plant And System Operators","1134","1035","99"
"PRD-Chemical Processing Machine Setters, Operators, And Tenders","1803","1723","80"
"PRD-Crushing, Grinding, Polishing, Mixing, And Blending Workers","953","767","186"
"PRD-Cutting Workers","1421","939","482"
"PRD-Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders","358","326","32"
"PRD-Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders","20","20","0"
