Source: ACS 5-Year Estimates – Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Arizona"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes (SOCP)","Total","Male","Female"
"RPR-Electrical Power-Line Installers And Repairers","2349","2319","30"
"RPR-Telecommunications Line Installers And Repairers","3095","2819","276"
"RPR-Precision Instrument And Equipment Repairers","1571","1311","260"
"RPR-Maintenance And Repair Workers, General","13406","12858","548"
"RPR-Coin, Vending, And Amusement Machine Servicers And Repairers","890","744","146"
"RPR-Locksmiths And Safe Repairers","842","776","66"
"RPR-Riggers","60","60","0"
"RPR-Helpers--Installation, Maintenance, And Repair Workers","679","615","64"
"RPR-Other Installation, Maintenance, And Repair Workers","10964","10125","839"
"PRD-First-Line Supervisors Of Production And Operating Workers","13327","10480","2847"
"PRD-Electrical, Electronics, And Electromechanical Assemblers","3200","1890","1310"
"PRD-Engine And Other Machine Assemblers","214","136","78"
"PRD-Structural Metal Fabricators And Fitters","636","613","23"
"PRD-Other Assemblers and Fabricators","15558","9116","6442"
"PRD-Bakers","6815","3385","3430"
"PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers","4739","4016","723"
"PRD-Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders","129","75","54"
"PRD-Food Batchmakers","2474","697","1777"
"PRD-Food Cooking Machine Operators And Tenders","186","89","97"
"PRD-Food Processing Workers, All Other","1814","1143","671"
"PRD-Forming Machine Setters, Operators, And Tenders, Metal And Plastic","255","195","60"
"PRD-Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic","1284","1157","127"
"PRD-Grinding, Lapping, Polishing, And Buffing Machine Tool Setters, Operators, And Tenders, Metal and Plastic","717","646","71"
"PRD-Other Machine Tool Setters, Operators, And Tenders, Metal And Plastic","264","150","114"
"PRD-Machinists","6799","6136","663"
"PRD-Metal Furnace Operators, Tenders, Pourers, And Casters","329","200","129"
"PRD-Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic","341","235","106"
"PRD-Tool And Die Makers","277","277","0"
"PRD-Welding, Soldering, And Brazing Workers","14939","14419","520"
"PRD-Other Metal Workers And Plastic Workers","4770","4124","646"
"PRD-Prepress Technicians And Workers","340","143","197"
"PRD-Printing Press Operators","2808","2272","536"
"PRD-Print Binding And Finishing Workers","690","255","435"
"PRD-Laundry And Dry-Cleaning Workers","4673","1690","2983"
"PRD-Pressers, Textile, Garment, And Related Materials","808","190","618"
"PRD-Sewing Machine Operators","2737","539","2198"
"PRD-Shoe And Leather Workers","260","143","117"
"PRD-Tailors, Dressmakers, And Sewers","1692","424","1268"
"PRD-Textile Machine Setters, Operators, And Tenders","137","41","96"
"PRD-Upholsterers","1121","931","190"
"PRD-Other Textile, Apparel, And Furnishings Workers","201","138","63"
"PRD-Cabinetmakers And Bench Carpenters","1381","1271","110"
"PRD-Furniture Finishers","192","134","58"
"PRD-Sawing Machine Setters, Operators, And Tenders, Wood","248","248","0"
"PRD-Woodworking Machine Setters, Operators, And Tenders, Except Sawing","555","455","100"
"PRD-Other Woodworkers","959","934","25"
